,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_steps,strong_params,strong_steps
0,0.635,0.635,0.635,0.56,1.4,1000.0,1.4,1000.0
1,0.635,0.635,0.635,0.575,1.4,1000.0,1.4,121000.0
2,0.635,0.605,0.635,0.545,1.4,1000.0,1.4,31000.0
3,0.635,0.635,0.635,0.495,1.4,1000.0,1.4,61000.0
4,0.635,0.57,0.635,0.455,1.4,1000.0,1.4,91000.0
5,0.635,0.65,0.635,0.565,1.4,1000.0,0.16,1000.0
6,0.635,0.635,0.635,0.59,1.4,1000.0,0.16,121000.0
7,0.635,0.675,0.635,0.56,1.4,1000.0,0.16,31000.0
8,0.635,0.63,0.635,0.505,1.4,1000.0,0.16,61000.0
9,0.635,0.63,0.635,0.55,1.4,1000.0,0.16,91000.0
10,0.635,0.64,0.635,0.6,1.4,1000.0,1.0,1000.0
11,0.635,0.57,0.635,0.6,1.4,1000.0,1.0,121000.0
12,0.635,0.655,0.635,0.57,1.4,1000.0,1.0,31000.0
13,0.635,0.665,0.635,0.595,1.4,1000.0,1.0,61000.0
14,0.635,0.63,0.635,0.52,1.4,1000.0,1.0,91000.0
15,0.635,0.64,0.635,0.555,1.4,1000.0,2.8,1000.0
16,0.635,0.57,0.635,0.545,1.4,1000.0,2.8,121000.0
17,0.635,0.635,0.635,0.57,1.4,1000.0,2.8,31000.0
18,0.635,0.635,0.635,0.535,1.4,1000.0,2.8,61000.0
19,0.635,0.635,0.635,0.605,1.4,1000.0,2.8,91000.0
20,0.635,0.565,0.635,0.575,1.4,1000.0,0.41,1000.0
21,0.635,0.58,0.635,0.57,1.4,1000.0,0.41,121000.0
22,0.635,0.66,0.635,0.605,1.4,1000.0,0.41,31000.0
23,0.635,0.735,0.635,0.575,1.4,1000.0,0.41,61000.0
24,0.635,0.715,0.635,0.57,1.4,1000.0,0.41,91000.0
25,0.6,0.635,0.605,0.59,1.4,121000.0,1.4,1000.0
26,0.6,0.635,0.605,0.605,1.4,121000.0,1.4,121000.0
27,0.6,0.605,0.625,0.55,1.4,121000.0,1.4,31000.0
28,0.6,0.635,0.62,0.555,1.4,121000.0,1.4,61000.0
29,0.6,0.57,0.61,0.56,1.4,121000.0,1.4,91000.0
30,0.6,0.65,0.63,0.565,1.4,121000.0,0.16,1000.0
31,0.6,0.635,0.615,0.595,1.4,121000.0,0.16,121000.0
32,0.6,0.675,0.625,0.59,1.4,121000.0,0.16,31000.0
33,0.6,0.63,0.625,0.565,1.4,121000.0,0.16,61000.0
34,0.6,0.63,0.64,0.6,1.4,121000.0,0.16,91000.0
35,0.6,0.64,0.6,0.585,1.4,121000.0,1.0,1000.0
36,0.6,0.57,0.62,0.605,1.4,121000.0,1.0,121000.0
37,0.6,0.655,0.635,0.61,1.4,121000.0,1.0,31000.0
38,0.6,0.665,0.635,0.6,1.4,121000.0,1.0,61000.0
39,0.6,0.63,0.605,0.59,1.4,121000.0,1.0,91000.0
40,0.6,0.64,0.625,0.56,1.4,121000.0,2.8,1000.0
41,0.6,0.57,0.63,0.575,1.4,121000.0,2.8,121000.0
42,0.6,0.635,0.6,0.61,1.4,121000.0,2.8,31000.0
43,0.6,0.635,0.62,0.59,1.4,121000.0,2.8,61000.0
44,0.6,0.635,0.6,0.605,1.4,121000.0,2.8,91000.0
45,0.6,0.565,0.62,0.575,1.4,121000.0,0.41,1000.0
46,0.6,0.58,0.63,0.575,1.4,121000.0,0.41,121000.0
47,0.6,0.66,0.62,0.58,1.4,121000.0,0.41,31000.0
48,0.6,0.735,0.615,0.595,1.4,121000.0,0.41,61000.0
49,0.6,0.715,0.62,0.585,1.4,121000.0,0.41,91000.0
50,0.67,0.635,0.625,0.575,1.4,31000.0,1.4,1000.0
51,0.67,0.635,0.65,0.63,1.4,31000.0,1.4,121000.0
52,0.67,0.605,0.65,0.62,1.4,31000.0,1.4,31000.0
53,0.67,0.635,0.645,0.625,1.4,31000.0,1.4,61000.0
54,0.67,0.57,0.66,0.625,1.4,31000.0,1.4,91000.0
55,0.67,0.65,0.625,0.605,1.4,31000.0,0.16,1000.0
56,0.67,0.635,0.635,0.645,1.4,31000.0,0.16,121000.0
57,0.67,0.675,0.65,0.655,1.4,31000.0,0.16,31000.0
58,0.67,0.63,0.65,0.62,1.4,31000.0,0.16,61000.0
59,0.67,0.63,0.645,0.6,1.4,31000.0,0.16,91000.0
60,0.67,0.64,0.65,0.64,1.4,31000.0,1.0,1000.0
61,0.67,0.57,0.63,0.63,1.4,31000.0,1.0,121000.0
62,0.67,0.655,0.635,0.595,1.4,31000.0,1.0,31000.0
63,0.67,0.665,0.635,0.61,1.4,31000.0,1.0,61000.0
64,0.67,0.63,0.64,0.595,1.4,31000.0,1.0,91000.0
65,0.67,0.64,0.625,0.555,1.4,31000.0,2.8,1000.0
66,0.67,0.57,0.64,0.6,1.4,31000.0,2.8,121000.0
67,0.67,0.635,0.635,0.61,1.4,31000.0,2.8,31000.0
68,0.67,0.635,0.64,0.575,1.4,31000.0,2.8,61000.0
69,0.67,0.635,0.64,0.62,1.4,31000.0,2.8,91000.0
70,0.67,0.565,0.635,0.61,1.4,31000.0,0.41,1000.0
71,0.67,0.58,0.635,0.605,1.4,31000.0,0.41,121000.0
72,0.67,0.66,0.64,0.63,1.4,31000.0,0.41,31000.0
73,0.67,0.735,0.635,0.61,1.4,31000.0,0.41,61000.0
74,0.67,0.715,0.645,0.61,1.4,31000.0,0.41,91000.0
75,0.655,0.635,0.6,0.59,1.4,61000.0,1.4,1000.0
76,0.655,0.635,0.6,0.57,1.4,61000.0,1.4,121000.0
77,0.655,0.605,0.705,0.675,1.4,61000.0,1.4,31000.0
78,0.655,0.635,0.7,0.62,1.4,61000.0,1.4,61000.0
79,0.655,0.57,0.69,0.63,1.4,61000.0,1.4,91000.0
80,0.655,0.65,0.66,0.63,1.4,61000.0,0.16,1000.0
81,0.655,0.635,0.655,0.63,1.4,61000.0,0.16,121000.0
82,0.655,0.675,0.68,0.66,1.4,61000.0,0.16,31000.0
83,0.655,0.63,0.685,0.665,1.4,61000.0,0.16,61000.0
84,0.655,0.63,0.665,0.645,1.4,61000.0,0.16,91000.0
85,0.655,0.64,0.625,0.62,1.4,61000.0,1.0,1000.0
86,0.655,0.57,0.685,0.625,1.4,61000.0,1.0,121000.0
87,0.655,0.655,0.7,0.67,1.4,61000.0,1.0,31000.0
88,0.655,0.665,0.7,0.645,1.4,61000.0,1.0,61000.0
89,0.655,0.63,0.7,0.66,1.4,61000.0,1.0,91000.0
90,0.655,0.64,0.565,0.545,1.4,61000.0,2.8,1000.0
91,0.655,0.57,0.635,0.595,1.4,61000.0,2.8,121000.0
92,0.655,0.635,0.69,0.685,1.4,61000.0,2.8,31000.0
93,0.655,0.635,0.685,0.655,1.4,61000.0,2.8,61000.0
94,0.655,0.635,0.635,0.605,1.4,61000.0,2.8,91000.0
95,0.655,0.565,0.64,0.635,1.4,61000.0,0.41,1000.0
96,0.655,0.58,0.68,0.6,1.4,61000.0,0.41,121000.0
97,0.655,0.66,0.69,0.685,1.4,61000.0,0.41,31000.0
98,0.655,0.735,0.71,0.71,1.4,61000.0,0.41,61000.0
99,0.655,0.715,0.7,0.65,1.4,61000.0,0.41,91000.0
100,0.625,0.635,0.62,0.565,1.4,91000.0,1.4,1000.0
101,0.625,0.635,0.62,0.55,1.4,91000.0,1.4,121000.0
102,0.625,0.605,0.625,0.58,1.4,91000.0,1.4,31000.0
103,0.625,0.635,0.62,0.58,1.4,91000.0,1.4,61000.0
104,0.625,0.57,0.625,0.58,1.4,91000.0,1.4,91000.0
105,0.625,0.65,0.625,0.555,1.4,91000.0,0.16,1000.0
106,0.625,0.635,0.62,0.58,1.4,91000.0,0.16,121000.0
107,0.625,0.675,0.625,0.585,1.4,91000.0,0.16,31000.0
108,0.625,0.63,0.63,0.54,1.4,91000.0,0.16,61000.0
109,0.625,0.63,0.635,0.555,1.4,91000.0,0.16,91000.0
110,0.625,0.64,0.63,0.555,1.4,91000.0,1.0,1000.0
111,0.625,0.57,0.625,0.59,1.4,91000.0,1.0,121000.0
112,0.625,0.655,0.635,0.59,1.4,91000.0,1.0,31000.0
113,0.625,0.665,0.62,0.605,1.4,91000.0,1.0,61000.0
114,0.625,0.63,0.625,0.6,1.4,91000.0,1.0,91000.0
115,0.625,0.64,0.635,0.6,1.4,91000.0,2.8,1000.0
116,0.625,0.57,0.62,0.54,1.4,91000.0,2.8,121000.0
117,0.625,0.635,0.62,0.61,1.4,91000.0,2.8,31000.0
118,0.625,0.635,0.63,0.56,1.4,91000.0,2.8,61000.0
119,0.625,0.635,0.62,0.57,1.4,91000.0,2.8,91000.0
120,0.625,0.565,0.635,0.535,1.4,91000.0,0.41,1000.0
121,0.625,0.58,0.62,0.58,1.4,91000.0,0.41,121000.0
122,0.625,0.66,0.635,0.61,1.4,91000.0,0.41,31000.0
123,0.625,0.735,0.63,0.505,1.4,91000.0,0.41,61000.0
124,0.625,0.715,0.635,0.555,1.4,91000.0,0.41,91000.0
125,0.585,0.635,0.585,0.55,1.0,1000.0,1.4,1000.0
126,0.585,0.635,0.565,0.5,1.0,1000.0,1.4,121000.0
127,0.585,0.605,0.585,0.585,1.0,1000.0,1.4,31000.0
128,0.585,0.635,0.58,0.54,1.0,1000.0,1.4,61000.0
129,0.585,0.57,0.59,0.525,1.0,1000.0,1.4,91000.0
130,0.585,0.65,0.605,0.52,1.0,1000.0,0.16,1000.0
131,0.585,0.635,0.61,0.575,1.0,1000.0,0.16,121000.0
132,0.585,0.675,0.595,0.56,1.0,1000.0,0.16,31000.0
133,0.585,0.63,0.595,0.54,1.0,1000.0,0.16,61000.0
134,0.585,0.63,0.6,0.55,1.0,1000.0,0.16,91000.0
135,0.585,0.64,0.59,0.535,1.0,1000.0,1.0,1000.0
136,0.585,0.57,0.575,0.545,1.0,1000.0,1.0,121000.0
137,0.585,0.655,0.58,0.54,1.0,1000.0,1.0,31000.0
138,0.585,0.665,0.575,0.54,1.0,1000.0,1.0,61000.0
139,0.585,0.63,0.59,0.56,1.0,1000.0,1.0,91000.0
140,0.585,0.64,0.565,0.55,1.0,1000.0,2.8,1000.0
141,0.585,0.57,0.575,0.525,1.0,1000.0,2.8,121000.0
142,0.585,0.635,0.57,0.56,1.0,1000.0,2.8,31000.0
143,0.585,0.635,0.59,0.56,1.0,1000.0,2.8,61000.0
144,0.585,0.635,0.575,0.56,1.0,1000.0,2.8,91000.0
145,0.585,0.565,0.57,0.51,1.0,1000.0,0.41,1000.0
146,0.585,0.58,0.56,0.54,1.0,1000.0,0.41,121000.0
147,0.585,0.66,0.585,0.605,1.0,1000.0,0.41,31000.0
148,0.585,0.735,0.58,0.57,1.0,1000.0,0.41,61000.0
149,0.585,0.715,0.575,0.5,1.0,1000.0,0.41,91000.0
150,0.605,0.635,0.615,0.62,1.0,121000.0,1.4,1000.0
151,0.605,0.635,0.63,0.605,1.0,121000.0,1.4,121000.0
152,0.605,0.605,0.63,0.61,1.0,121000.0,1.4,31000.0
153,0.605,0.635,0.64,0.6,1.0,121000.0,1.4,61000.0
154,0.605,0.57,0.635,0.61,1.0,121000.0,1.4,91000.0
155,0.605,0.65,0.625,0.61,1.0,121000.0,0.16,1000.0
156,0.605,0.635,0.625,0.605,1.0,121000.0,0.16,121000.0
157,0.605,0.675,0.63,0.615,1.0,121000.0,0.16,31000.0
158,0.605,0.63,0.63,0.59,1.0,121000.0,0.16,61000.0
159,0.605,0.63,0.64,0.62,1.0,121000.0,0.16,91000.0
160,0.605,0.64,0.635,0.565,1.0,121000.0,1.0,1000.0
161,0.605,0.57,0.63,0.59,1.0,121000.0,1.0,121000.0
162,0.605,0.655,0.635,0.65,1.0,121000.0,1.0,31000.0
163,0.605,0.665,0.625,0.585,1.0,121000.0,1.0,61000.0
164,0.605,0.63,0.62,0.575,1.0,121000.0,1.0,91000.0
165,0.605,0.64,0.615,0.605,1.0,121000.0,2.8,1000.0
166,0.605,0.57,0.62,0.59,1.0,121000.0,2.8,121000.0
167,0.605,0.635,0.645,0.625,1.0,121000.0,2.8,31000.0
168,0.605,0.635,0.635,0.605,1.0,121000.0,2.8,61000.0
169,0.605,0.635,0.625,0.62,1.0,121000.0,2.8,91000.0
170,0.605,0.565,0.62,0.6,1.0,121000.0,0.41,1000.0
171,0.605,0.58,0.62,0.605,1.0,121000.0,0.41,121000.0
172,0.605,0.66,0.625,0.57,1.0,121000.0,0.41,31000.0
173,0.605,0.735,0.615,0.61,1.0,121000.0,0.41,61000.0
174,0.605,0.715,0.63,0.64,1.0,121000.0,0.41,91000.0
175,0.685,0.635,0.645,0.6,1.0,31000.0,1.4,1000.0
176,0.685,0.635,0.66,0.625,1.0,31000.0,1.4,121000.0
177,0.685,0.605,0.675,0.645,1.0,31000.0,1.4,31000.0
178,0.685,0.635,0.675,0.66,1.0,31000.0,1.4,61000.0
179,0.685,0.57,0.685,0.625,1.0,31000.0,1.4,91000.0
180,0.685,0.65,0.665,0.65,1.0,31000.0,0.16,1000.0
181,0.685,0.635,0.66,0.645,1.0,31000.0,0.16,121000.0
182,0.685,0.675,0.69,0.66,1.0,31000.0,0.16,31000.0
183,0.685,0.63,0.69,0.685,1.0,31000.0,0.16,61000.0
184,0.685,0.63,0.705,0.605,1.0,31000.0,0.16,91000.0
185,0.685,0.64,0.64,0.59,1.0,31000.0,1.0,1000.0
186,0.685,0.57,0.665,0.615,1.0,31000.0,1.0,121000.0
187,0.685,0.655,0.665,0.67,1.0,31000.0,1.0,31000.0
188,0.685,0.665,0.675,0.63,1.0,31000.0,1.0,61000.0
189,0.685,0.63,0.67,0.675,1.0,31000.0,1.0,91000.0
190,0.685,0.64,0.635,0.535,1.0,31000.0,2.8,1000.0
191,0.685,0.57,0.665,0.61,1.0,31000.0,2.8,121000.0
192,0.685,0.635,0.685,0.68,1.0,31000.0,2.8,31000.0
193,0.685,0.635,0.675,0.635,1.0,31000.0,2.8,61000.0
194,0.685,0.635,0.685,0.53,1.0,31000.0,2.8,91000.0
195,0.685,0.565,0.65,0.59,1.0,31000.0,0.41,1000.0
196,0.685,0.58,0.665,0.605,1.0,31000.0,0.41,121000.0
197,0.685,0.66,0.675,0.67,1.0,31000.0,0.41,31000.0
198,0.685,0.735,0.685,0.67,1.0,31000.0,0.41,61000.0
199,0.685,0.715,0.685,0.635,1.0,31000.0,0.41,91000.0
200,0.655,0.635,0.625,0.56,1.0,61000.0,1.4,1000.0
201,0.655,0.635,0.635,0.625,1.0,61000.0,1.4,121000.0
202,0.655,0.605,0.645,0.615,1.0,61000.0,1.4,31000.0
203,0.655,0.635,0.65,0.61,1.0,61000.0,1.4,61000.0
204,0.655,0.57,0.635,0.625,1.0,61000.0,1.4,91000.0
205,0.655,0.65,0.64,0.585,1.0,61000.0,0.16,1000.0
206,0.655,0.635,0.635,0.635,1.0,61000.0,0.16,121000.0
207,0.655,0.675,0.645,0.64,1.0,61000.0,0.16,31000.0
208,0.655,0.63,0.635,0.62,1.0,61000.0,0.16,61000.0
209,0.655,0.63,0.63,0.6,1.0,61000.0,0.16,91000.0
210,0.655,0.64,0.635,0.54,1.0,61000.0,1.0,1000.0
211,0.655,0.57,0.635,0.625,1.0,61000.0,1.0,121000.0
212,0.655,0.655,0.64,0.62,1.0,61000.0,1.0,31000.0
213,0.655,0.665,0.665,0.635,1.0,61000.0,1.0,61000.0
214,0.655,0.63,0.645,0.6,1.0,61000.0,1.0,91000.0
215,0.655,0.64,0.6,0.605,1.0,61000.0,2.8,1000.0
216,0.655,0.57,0.63,0.635,1.0,61000.0,2.8,121000.0
217,0.655,0.635,0.645,0.59,1.0,61000.0,2.8,31000.0
218,0.655,0.635,0.63,0.63,1.0,61000.0,2.8,61000.0
219,0.655,0.635,0.645,0.65,1.0,61000.0,2.8,91000.0
220,0.655,0.565,0.62,0.52,1.0,61000.0,0.41,1000.0
221,0.655,0.58,0.635,0.635,1.0,61000.0,0.41,121000.0
222,0.655,0.66,0.62,0.62,1.0,61000.0,0.41,31000.0
223,0.655,0.735,0.63,0.61,1.0,61000.0,0.41,61000.0
224,0.655,0.715,0.63,0.6,1.0,61000.0,0.41,91000.0
225,0.645,0.635,0.615,0.56,1.0,91000.0,1.4,1000.0
226,0.645,0.635,0.62,0.63,1.0,91000.0,1.4,121000.0
227,0.645,0.605,0.67,0.63,1.0,91000.0,1.4,31000.0
228,0.645,0.635,0.645,0.65,1.0,91000.0,1.4,61000.0
229,0.645,0.57,0.665,0.625,1.0,91000.0,1.4,91000.0
230,0.645,0.65,0.635,0.62,1.0,91000.0,0.16,1000.0
231,0.645,0.635,0.665,0.615,1.0,91000.0,0.16,121000.0
232,0.645,0.675,0.655,0.66,1.0,91000.0,0.16,31000.0
233,0.645,0.63,0.645,0.625,1.0,91000.0,0.16,61000.0
234,0.645,0.63,0.655,0.645,1.0,91000.0,0.16,91000.0
235,0.645,0.64,0.64,0.6,1.0,91000.0,1.0,1000.0
236,0.645,0.57,0.66,0.665,1.0,91000.0,1.0,121000.0
237,0.645,0.655,0.675,0.615,1.0,91000.0,1.0,31000.0
238,0.645,0.665,0.65,0.645,1.0,91000.0,1.0,61000.0
239,0.645,0.63,0.66,0.635,1.0,91000.0,1.0,91000.0
240,0.645,0.64,0.6,0.55,1.0,91000.0,2.8,1000.0
241,0.645,0.57,0.645,0.64,1.0,91000.0,2.8,121000.0
242,0.645,0.635,0.665,0.65,1.0,91000.0,2.8,31000.0
243,0.645,0.635,0.65,0.63,1.0,91000.0,2.8,61000.0
244,0.645,0.635,0.65,0.605,1.0,91000.0,2.8,91000.0
245,0.645,0.565,0.65,0.595,1.0,91000.0,0.41,1000.0
246,0.645,0.58,0.64,0.62,1.0,91000.0,0.41,121000.0
247,0.645,0.66,0.645,0.59,1.0,91000.0,0.41,31000.0
248,0.645,0.735,0.635,0.6,1.0,91000.0,0.41,61000.0
249,0.645,0.715,0.66,0.64,1.0,91000.0,0.41,91000.0
250,0.635,0.635,0.635,0.5,2.8,1000.0,1.4,1000.0
251,0.635,0.635,0.635,0.48,2.8,1000.0,1.4,121000.0
252,0.635,0.605,0.635,0.575,2.8,1000.0,1.4,31000.0
253,0.635,0.635,0.635,0.535,2.8,1000.0,1.4,61000.0
254,0.635,0.57,0.635,0.52,2.8,1000.0,1.4,91000.0
255,0.635,0.65,0.635,0.545,2.8,1000.0,0.16,1000.0
256,0.635,0.635,0.635,0.45,2.8,1000.0,0.16,121000.0
257,0.635,0.675,0.635,0.51,2.8,1000.0,0.16,31000.0
258,0.635,0.63,0.635,0.505,2.8,1000.0,0.16,91000.0
259,0.635,0.64,0.635,0.45,2.8,1000.0,1.0,1000.0
260,0.635,0.57,0.635,0.48,2.8,1000.0,1.0,121000.0
261,0.635,0.655,0.635,0.52,2.8,1000.0,1.0,31000.0
262,0.635,0.665,0.635,0.465,2.8,1000.0,1.0,61000.0
263,0.635,0.63,0.635,0.575,2.8,1000.0,1.0,91000.0
264,0.635,0.64,0.635,0.565,2.8,1000.0,2.8,1000.0
265,0.635,0.57,0.635,0.515,2.8,1000.0,2.8,121000.0
266,0.635,0.635,0.635,0.455,2.8,1000.0,2.8,31000.0
267,0.635,0.635,0.635,0.485,2.8,1000.0,2.8,61000.0
268,0.635,0.635,0.635,0.54,2.8,1000.0,2.8,91000.0
269,0.635,0.565,0.635,0.515,2.8,1000.0,0.41,1000.0
270,0.635,0.58,0.635,0.45,2.8,1000.0,0.41,121000.0
271,0.635,0.66,0.635,0.6,2.8,1000.0,0.41,31000.0
272,0.635,0.735,0.635,0.58,2.8,1000.0,0.41,61000.0
273,0.635,0.715,0.635,0.59,2.8,1000.0,0.41,91000.0
274,0.645,0.635,0.645,0.54,2.8,121000.0,1.4,1000.0
275,0.645,0.635,0.645,0.6,2.8,121000.0,1.4,121000.0
276,0.645,0.605,0.645,0.59,2.8,121000.0,1.4,31000.0
277,0.645,0.635,0.64,0.58,2.8,121000.0,1.4,61000.0
278,0.645,0.57,0.645,0.55,2.8,121000.0,1.4,91000.0
279,0.645,0.65,0.65,0.62,2.8,121000.0,0.16,1000.0
