,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_step_size,strong_params,strong_step_size
0,0.635,0.635,0.635,0.56,1.4,1000,1.4,1000
1,0.635,0.635,0.635,0.575,1.4,1000,1.4,121000
2,0.635,0.605,0.635,0.545,1.4,1000,1.4,31000
3,0.635,0.635,0.635,0.495,1.4,1000,1.4,61000
4,0.635,0.57,0.635,0.455,1.4,1000,1.4,91000
5,0.635,0.65,0.635,0.565,1.4,1000,0.16,1000
6,0.635,0.635,0.635,0.59,1.4,1000,0.16,121000
7,0.635,0.675,0.635,0.56,1.4,1000,0.16,31000
8,0.635,0.63,0.635,0.505,1.4,1000,0.16,61000
9,0.635,0.63,0.635,0.55,1.4,1000,0.16,91000
10,0.635,0.64,0.635,0.6,1.4,1000,1.0,1000
11,0.635,0.57,0.635,0.6,1.4,1000,1.0,121000
12,0.635,0.655,0.635,0.57,1.4,1000,1.0,31000
13,0.635,0.665,0.635,0.595,1.4,1000,1.0,61000
14,0.635,0.63,0.635,0.52,1.4,1000,1.0,91000
15,0.635,0.64,0.635,0.555,1.4,1000,2.8,1000
16,0.635,0.57,0.635,0.545,1.4,1000,2.8,121000
17,0.635,0.635,0.635,0.57,1.4,1000,2.8,31000
18,0.635,0.635,0.635,0.535,1.4,1000,2.8,61000
19,0.635,0.635,0.635,0.605,1.4,1000,2.8,91000
20,0.635,0.565,0.635,0.575,1.4,1000,0.41,1000
21,0.635,0.58,0.635,0.57,1.4,1000,0.41,121000
22,0.635,0.66,0.635,0.605,1.4,1000,0.41,31000
23,0.635,0.735,0.635,0.575,1.4,1000,0.41,61000
24,0.635,0.715,0.635,0.57,1.4,1000,0.41,91000
25,0.6,0.635,0.605,0.59,1.4,121000,1.4,1000
26,0.6,0.635,0.605,0.605,1.4,121000,1.4,121000
27,0.6,0.605,0.625,0.55,1.4,121000,1.4,31000
28,0.6,0.635,0.62,0.555,1.4,121000,1.4,61000
29,0.6,0.57,0.61,0.56,1.4,121000,1.4,91000
30,0.6,0.65,0.63,0.565,1.4,121000,0.16,1000
31,0.6,0.635,0.615,0.595,1.4,121000,0.16,121000
32,0.6,0.675,0.625,0.59,1.4,121000,0.16,31000
33,0.6,0.63,0.625,0.565,1.4,121000,0.16,61000
34,0.6,0.63,0.64,0.6,1.4,121000,0.16,91000
35,0.6,0.64,0.6,0.585,1.4,121000,1.0,1000
36,0.6,0.57,0.62,0.605,1.4,121000,1.0,121000
37,0.6,0.655,0.635,0.61,1.4,121000,1.0,31000
38,0.6,0.665,0.635,0.6,1.4,121000,1.0,61000
39,0.6,0.63,0.605,0.59,1.4,121000,1.0,91000
40,0.6,0.64,0.625,0.56,1.4,121000,2.8,1000
41,0.6,0.57,0.63,0.575,1.4,121000,2.8,121000
42,0.6,0.635,0.6,0.61,1.4,121000,2.8,31000
43,0.6,0.635,0.62,0.59,1.4,121000,2.8,61000
44,0.6,0.635,0.6,0.605,1.4,121000,2.8,91000
45,0.6,0.565,0.62,0.575,1.4,121000,0.41,1000
46,0.6,0.58,0.63,0.575,1.4,121000,0.41,121000
47,0.6,0.66,0.62,0.58,1.4,121000,0.41,31000
48,0.6,0.735,0.615,0.595,1.4,121000,0.41,61000
49,0.6,0.715,0.62,0.585,1.4,121000,0.41,91000
50,0.67,0.635,0.625,0.575,1.4,31000,1.4,1000
51,0.67,0.635,0.65,0.63,1.4,31000,1.4,121000
52,0.67,0.605,0.65,0.62,1.4,31000,1.4,31000
53,0.67,0.635,0.645,0.625,1.4,31000,1.4,61000
